category,module_title,module_file,question_id,question_type,question,answers,answer_options
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-1,Single choice,What is your biological gender?,[ ] Male [ ] Female [ ] Other,Male; Female; Other
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-2,Single choice,What is your age group?,"[ ] Under 18 [ ] 18-39 [ ] 40-64 [ ] 65-79 [ ] 80 or older [ ] Not sure / staff confirm","Under 18; 18-39; 40-64; 65-79; 80 or older; Not sure / staff confirm"
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-3,Single choice,What is the main problem today?,"[ ] Fever or cold symptoms [ ] Chest / breathing / heartbeat [ ] Stomach or bowel problem [ ] Urinary or back pain [ ] Headache, dizziness, or weakness [ ] Injury, wound, or limb pain [ ] Skin, allergy, eye, ear, or nose [ ] Medication or follow-up issue [ ] Other / not sure","fever/cold; cardiorespiratory; GI; GU/back; neuro/general; injury/wound/limb; skin/allergy/eye/ENT; medication/follow-up; other/not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-FEVER,Single choice,Which fever or respiratory concern fits best?,"[ ] fever [ ] cough / cold symptoms [ ] sore throat [ ] shortness of breath [ ] not sure","fever; cough / cold symptoms; sore throat; shortness of breath; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-CARDIORESP,Single choice,"Which chest, breathing, or heartbeat concern fits best?","[ ] chest pain [ ] shortness of breath [ ] palpitations / heartbeat [ ] high blood pressure concern [ ] slow heartbeat concern [ ] fast heartbeat concern [ ] leg swelling [ ] low oxygen / blue lips or fingers [ ] not sure","chest pain; shortness of breath; palpitations / heartbeat; high blood pressure concern; slow heartbeat concern; fast heartbeat concern; leg swelling; low oxygen / blue lips or fingers; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-GI,Single choice,"Which stomach, bowel, or digestion concern fits best?","[ ] abdominal pain [ ] diarrhea [ ] nausea / vomiting [ ] trouble swallowing [ ] abdominal swelling / bloating [ ] vomiting blood or black stool [ ] yellow skin or eyes [ ] not sure","abdominal pain; diarrhea; nausea / vomiting; trouble swallowing; abdominal swelling / bloating; vomiting blood or black stool; yellow skin or eyes; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-GU-BACK,Single choice,"Which urinary, kidney, or back concern fits best?","[ ] urinary symptoms [ ] painful urination / bladder pain [ ] abnormal urine or kidney test [ ] fluid or electrolyte concern [ ] back pain [ ] not sure","urinary symptoms; painful urination / bladder pain; abnormal urine or kidney test; fluid or electrolyte concern; back pain; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-NEURO,Single choice,Which head or neurologic concern fits best?,"[ ] headache [ ] dizziness [ ] fainting [ ] confusion or memory change [ ] weakness or paralysis [ ] numbness or tingling [ ] walking imbalance or falls [ ] sleep problem [ ] weakness / fatigue [ ] not sure","headache; dizziness; fainting; confusion or memory change; weakness or paralysis; numbness or tingling; walking imbalance or falls; sleep problem; weakness / fatigue; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-INJURY,Single choice,"Which injury, wound, or limb concern fits best?","[ ] trauma / injury [ ] wound or skin infection [ ] limb pain / swelling [ ] bruise [ ] bleeding or clotting concern [ ] not sure","trauma / injury; wound or skin infection; limb pain / swelling; bruise; bleeding or clotting concern; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-SKIN-EYE-ENT,Single choice,"Which skin, allergy, eye, ear, or nose concern fits best?","[ ] skin problem [ ] allergy [ ] eye problem [ ] ear / nose / throat / sinus problem [ ] not sure","skin problem; allergy; eye problem; ear / nose / throat / sinus problem; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-FOLLOW-UP,Single choice,Which medication or follow-up concern fits best?,"[ ] chronic follow-up [ ] medication question [ ] test or lab follow-up [ ] not sure","chronic follow-up; medication question; test or lab follow-up; not sure"
InitialDetail,Vital-First Routing Boundary,Case_Question_design.md,INIT-3A-OTHER,Single choice,Which other concern fits best?,"[ ] bleeding or clotting concern [ ] bruise [ ] swollen lymph nodes or spleen concern [ ] weakness / fatigue [ ] unintentional weight loss [ ] not sure","bleeding or clotting concern; bruise; swollen lymph nodes or spleen concern; weakness / fatigue; unintentional weight loss; not sure"
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-4,Single choice,How long have you had this?,"[ ] Just started / within 1 hour [ ] Today [ ] 1-3 days [ ] 4-7 days [ ] More than 1 week [ ] Long-term issue [ ] Not sure","Just started / within 1 hour; Today; 1-3 days; 4-7 days; More than 1 week; Long-term issue; Not sure"
